row_id,prefix_end,stage,is_full_sentence,global_prefix_id,sentence,label,type,location,ambiguous_lemma,cue_start_lemma,cue_end_lemma,morphological_parsing,lemma_split,amb_char_start,amb_char_end,cue_char_start,cue_char_end,amb_tok_start,amb_tok_end,cue_tok_start,cue_tok_end,n_tokens
0,0,pre_ambiguity,False,0,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu.,nominalizer,syntactic,after,arama,niyetiyle,niyetiyle,ara-NMLZ,ara-ma,52,57,58,67,17,18,19,22,30
0,1,pre_ambiguity,False,1,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu.,nominalizer,syntactic,after,arama,niyetiyle,niyetiyle,ara-NMLZ,ara-ma,52,57,58,67,17,18,19,22,30
0,2,pre_ambiguity,False,2,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu.,nominalizer,syntactic,after,arama,niyetiyle,niyetiyle,ara-NMLZ,ara-ma,52,57,58,67,17,18,19,22,30
0,3,pre_ambiguity,False,3,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu.,nominalizer,syntactic,after,arama,niyetiyle,niyetiyle,ara-NMLZ,ara-ma,52,57,58,67,17,18,19,22,30
0,4,pre_ambiguity,False,4,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu.,nominalizer,syntactic,after,arama,niyetiyle,niyetiyle,ara-NMLZ,ara-ma,52,57,58,67,17,18,19,22,30
0,5,pre_ambiguity,False,5,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu.,nominalizer,syntactic,after,arama,niyetiyle,niyetiyle,ara-NMLZ,ara-ma,52,57,58,67,17,18,19,22,30
0,6,pre_ambiguity,False,6,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu.,nominalizer,syntactic,after,arama,niyetiyle,niyetiyle,ara-NMLZ,ara-ma,52,57,58,67,17,18,19,22,30
0,7,pre_ambiguity,False,7,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu.,nominalizer,syntactic,after,arama,niyetiyle,niyetiyle,ara-NMLZ,ara-ma,52,57,58,67,17,18,19,22,30
0,8,pre_ambiguity,False,8,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu.,nominalizer,syntactic,after,arama,niyetiyle,niyetiyle,ara-NMLZ,ara-ma,52,57,58,67,17,18,19,22,30
0,9,pre_ambiguity,False,9,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu.,nominalizer,syntactic,after,arama,niyetiyle,niyetiyle,ara-NMLZ,ara-ma,52,57,58,67,17,18,19,22,30
0,10,pre_ambiguity,False,10,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu.,nominalizer,syntactic,after,arama,niyetiyle,niyetiyle,ara-NMLZ,ara-ma,52,57,58,67,17,18,19,22,30
0,11,pre_ambiguity,False,11,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu.,nominalizer,syntactic,after,arama,niyetiyle,niyetiyle,ara-NMLZ,ara-ma,52,57,58,67,17,18,19,22,30
0,12,pre_ambiguity,False,12,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu.,nominalizer,syntactic,after,arama,niyetiyle,niyetiyle,ara-NMLZ,ara-ma,52,57,58,67,17,18,19,22,30
0,13,pre_ambiguity,False,13,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu.,nominalizer,syntactic,after,arama,niyetiyle,niyetiyle,ara-NMLZ,ara-ma,52,57,58,67,17,18,19,22,30
0,14,pre_ambiguity,False,14,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu.,nominalizer,syntactic,after,arama,niyetiyle,niyetiyle,ara-NMLZ,ara-ma,52,57,58,67,17,18,19,22,30
0,15,pre_ambiguity,False,15,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu.,nominalizer,syntactic,after,arama,niyetiyle,niyetiyle,ara-NMLZ,ara-ma,52,57,58,67,17,18,19,22,30
0,16,pre_ambiguity,False,16,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu.,nominalizer,syntactic,after,arama,niyetiyle,niyetiyle,ara-NMLZ,ara-ma,52,57,58,67,17,18,19,22,30
0,17,ambiguity_onset,False,17,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu.,nominalizer,syntactic,after,arama,niyetiyle,niyetiyle,ara-NMLZ,ara-ma,52,57,58,67,17,18,19,22,30
0,18,ambiguity_onset,False,18,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu.,nominalizer,syntactic,after,arama,niyetiyle,niyetiyle,ara-NMLZ,ara-ma,52,57,58,67,17,18,19,22,30
0,19,cue_onset,False,19,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu.,nominalizer,syntactic,after,arama,niyetiyle,niyetiyle,ara-NMLZ,ara-ma,52,57,58,67,17,18,19,22,30
0,20,cue_onset,False,20,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu.,nominalizer,syntactic,after,arama,niyetiyle,niyetiyle,ara-NMLZ,ara-ma,52,57,58,67,17,18,19,22,30
0,21,cue_onset,False,21,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu.,nominalizer,syntactic,after,arama,niyetiyle,niyetiyle,ara-NMLZ,ara-ma,52,57,58,67,17,18,19,22,30
0,22,cue_onset,False,22,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu.,nominalizer,syntactic,after,arama,niyetiyle,niyetiyle,ara-NMLZ,ara-ma,52,57,58,67,17,18,19,22,30
0,23,post_cue,False,23,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu.,nominalizer,syntactic,after,arama,niyetiyle,niyetiyle,ara-NMLZ,ara-ma,52,57,58,67,17,18,19,22,30
0,24,post_cue,False,24,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu.,nominalizer,syntactic,after,arama,niyetiyle,niyetiyle,ara-NMLZ,ara-ma,52,57,58,67,17,18,19,22,30
0,25,post_cue,False,25,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu.,nominalizer,syntactic,after,arama,niyetiyle,niyetiyle,ara-NMLZ,ara-ma,52,57,58,67,17,18,19,22,30
0,26,post_cue,False,26,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu.,nominalizer,syntactic,after,arama,niyetiyle,niyetiyle,ara-NMLZ,ara-ma,52,57,58,67,17,18,19,22,30
0,27,post_cue,False,27,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu.,nominalizer,syntactic,after,arama,niyetiyle,niyetiyle,ara-NMLZ,ara-ma,52,57,58,67,17,18,19,22,30
0,28,post_cue,False,28,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu.,nominalizer,syntactic,after,arama,niyetiyle,niyetiyle,ara-NMLZ,ara-ma,52,57,58,67,17,18,19,22,30
0,29,full_sentence,True,29,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu.,nominalizer,syntactic,after,arama,niyetiyle,niyetiyle,ara-NMLZ,ara-ma,52,57,58,67,17,18,19,22,30
1,0,pre_ambiguity,False,30,Gidiyordu ama bizim kiracının da daire dönüşlerinde niyeti ev arama idi.,nominalizer,syntactic,before,arama,niyeti,niyeti,ara-NMLZ,ara-ma,62,67,52,58,21,22,17,19,25
1,1,pre_ambiguity,False,31,Gidiyordu ama bizim kiracının da daire dönüşlerinde niyeti ev arama idi.,nominalizer,syntactic,before,arama,niyeti,niyeti,ara-NMLZ,ara-ma,62,67,52,58,21,22,17,19,25
