split,split_seed,layer,dev_balanced_accuracy,eval_balanced_accuracy,n_train,n_dev,n_eval,n_train_sentences,n_dev_sentences,n_eval_sentences,vector_type,probe_target,train_cue_type,test_cue_type,test_scope,majority_prediction_fraction,collapsed_95,confusion_00,confusion_01,confusion_10,confusion_11
0,42,0,0.7738095238095238,0.5070508343792579,41,13,1323,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.9365079365079365,False,467,27,772,57
0,42,1,0.7738095238095238,0.4970612366491993,41,13,1323,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.90854119425548,False,447,47,755,74
0,42,2,0.7738095238095238,0.48734878859950287,41,13,1323,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.9024943310657596,False,438,56,756,73
0,42,3,0.7738095238095238,0.49589647543745696,41,13,1323,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.9221466364323507,False,453,41,767,62
0,42,4,0.6904761904761905,0.4961186835512275,41,13,1323,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.8692365835222978,False,427,67,723,106
0,42,5,0.7738095238095238,0.49329712887582233,41,13,1323,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.8707482993197279,False,426,68,726,103
0,42,6,0.7738095238095238,0.5186569350908123,41,13,1323,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.7883597883597884,False,401,93,642,187
0,42,7,0.6904761904761905,0.5130565580695731,41,13,1323,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.6273620559334845,False,318,176,512,317
0,42,8,0.7619047619047619,0.5385347938836607,41,13,1323,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.5381708238851096,False,252,242,359,470
0,42,9,0.7619047619047619,0.5561710367595709,41,13,1323,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.5177626606198035,False,273,221,365,464
0,42,10,0.8333333333333333,0.554244419157758,41,13,1323,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.6084656084656085,False,227,267,291,538
0,42,11,0.8452380952380952,0.534985568681842,41,13,1323,41,13,43,endpoint,interpretation,both,both,all_checkpoints,0.5721844293272865,False,233,261,333,496
