row_id,prefix_end,prefix_text,current_token,stage,is_full_sentence,label,type,location,computed_location,cue_relative_position
0,0,G,G,pre_ambiguity,False,nominalizer,syntactic,after,after,2
0,1,Gidi,idi,pre_ambiguity,False,nominalizer,syntactic,after,after,2
0,2,Gidiyordu,yordu,pre_ambiguity,False,nominalizer,syntactic,after,after,2
0,3,Gidiyordu ama,▁ama,pre_ambiguity,False,nominalizer,syntactic,after,after,2
0,4,Gidiyordu ama bizim,▁bizim,pre_ambiguity,False,nominalizer,syntactic,after,after,2
0,5,Gidiyordu ama bizim kira,▁kira,pre_ambiguity,False,nominalizer,syntactic,after,after,2
0,6,Gidiyordu ama bizim kiracı,cı,pre_ambiguity,False,nominalizer,syntactic,after,after,2
0,7,Gidiyordu ama bizim kiracı da,▁da,pre_ambiguity,False,nominalizer,syntactic,after,after,2
0,8,Gidiyordu ama bizim kiracı da daire,▁daire,pre_ambiguity,False,nominalizer,syntactic,after,after,2
0,9,Gidiyordu ama bizim kiracı da daire dönüş,▁dönüş,pre_ambiguity,False,nominalizer,syntactic,after,after,2
0,10,Gidiyordu ama bizim kiracı da daire dönüşlerinde,lerinde,pre_ambiguity,False,nominalizer,syntactic,after,after,2
0,11,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev,▁ev,pre_ambiguity,False,nominalizer,syntactic,after,after,2
0,12,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev ara,▁ara,ambiguity_onset,False,nominalizer,syntactic,after,after,2
0,13,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama,ma,ambiguity_onset,False,nominalizer,syntactic,after,after,2
0,14,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama ni,▁ni,cue_onset,False,nominalizer,syntactic,after,after,2
0,15,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyeti,yeti,cue_onset,False,nominalizer,syntactic,after,after,2
0,16,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle,yle,cue_onset,False,nominalizer,syntactic,after,after,2
0,17,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket,▁hareket,post_cue,False,nominalizer,syntactic,after,after,2
0,18,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ed,▁ed,post_cue,False,nominalizer,syntactic,after,after,2
0,19,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediy,iy,post_cue,False,nominalizer,syntactic,after,after,2
0,20,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu,ordu,post_cue,False,nominalizer,syntactic,after,after,2
0,21,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu.,.,full_sentence,True,nominalizer,syntactic,after,after,2
1,0,G,G,pre_ambiguity,False,nominalizer,syntactic,before,before,-3
1,1,Gidi,idi,pre_ambiguity,False,nominalizer,syntactic,before,before,-3
1,2,Gidiyordu,yordu,pre_ambiguity,False,nominalizer,syntactic,before,before,-3
1,3,Gidiyordu ama,▁ama,pre_ambiguity,False,nominalizer,syntactic,before,before,-3
1,4,Gidiyordu ama bizim,▁bizim,pre_ambiguity,False,nominalizer,syntactic,before,before,-3
1,5,Gidiyordu ama bizim k,▁k,pre_ambiguity,False,nominalizer,syntactic,before,before,-3
1,6,Gidiyordu ama bizim kirac,irac,pre_ambiguity,False,nominalizer,syntactic,before,before,-3
1,7,Gidiyordu ama bizim kiracının,ının,pre_ambiguity,False,nominalizer,syntactic,before,before,-3
1,8,Gidiyordu ama bizim kiracının da,▁da,pre_ambiguity,False,nominalizer,syntactic,before,before,-3
1,9,Gidiyordu ama bizim kiracının da daire,▁daire,pre_ambiguity,False,nominalizer,syntactic,before,before,-3
1,10,Gidiyordu ama bizim kiracının da daire dönüş,▁dönüş,pre_ambiguity,False,nominalizer,syntactic,before,before,-3
1,11,Gidiyordu ama bizim kiracının da daire dönüşlerinde,lerinde,pre_ambiguity,False,nominalizer,syntactic,before,before,-3
1,12,Gidiyordu ama bizim kiracının da daire dönüşlerinde ni,▁ni,cue_onset,False,nominalizer,syntactic,before,before,-3
1,13,Gidiyordu ama bizim kiracının da daire dönüşlerinde niyeti,yeti,cue_onset,False,nominalizer,syntactic,before,before,-3
