row_id,prefix_end,prefix_text,current_token,stage,is_full_sentence,label,type,location,computed_location,cue_relative_position
0,0,G,G,pre_ambiguity,False,nominalizer,syntactic,after,after,2
0,1,Gidi,idi,pre_ambiguity,False,nominalizer,syntactic,after,after,2
0,2,Gidiy,y,pre_ambiguity,False,nominalizer,syntactic,after,after,2
0,3,Gidiyord,ord,pre_ambiguity,False,nominalizer,syntactic,after,after,2
0,4,Gidiyordu,u,pre_ambiguity,False,nominalizer,syntactic,after,after,2
0,5,Gidiyordu ama,Ġama,pre_ambiguity,False,nominalizer,syntactic,after,after,2
0,6,Gidiyordu ama bizim,Ġbizim,pre_ambiguity,False,nominalizer,syntactic,after,after,2
0,7,Gidiyordu ama bizim kir,Ġkir,pre_ambiguity,False,nominalizer,syntactic,after,after,2
0,8,Gidiyordu ama bizim kiracı,acÄ±,pre_ambiguity,False,nominalizer,syntactic,after,after,2
0,9,Gidiyordu ama bizim kiracı da,Ġda,pre_ambiguity,False,nominalizer,syntactic,after,after,2
0,10,Gidiyordu ama bizim kiracı da da,Ġda,pre_ambiguity,False,nominalizer,syntactic,after,after,2
0,11,Gidiyordu ama bizim kiracı da daire,ire,pre_ambiguity,False,nominalizer,syntactic,after,after,2
0,12,Gidiyordu ama bizim kiracı da daire dönüş,ĠdÃ¶nÃ¼ÅŁ,pre_ambiguity,False,nominalizer,syntactic,after,after,2
0,13,Gidiyordu ama bizim kiracı da daire dönüşlerinde,lerinde,pre_ambiguity,False,nominalizer,syntactic,after,after,2
0,14,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev,Ġev,pre_ambiguity,False,nominalizer,syntactic,after,after,2
0,15,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev ar,Ġar,ambiguity_onset,False,nominalizer,syntactic,after,after,2
0,16,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama,ama,ambiguity_onset,False,nominalizer,syntactic,after,after,2
0,17,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama ni,Ġni,cue_onset,False,nominalizer,syntactic,after,after,2
0,18,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyet,yet,cue_onset,False,nominalizer,syntactic,after,after,2
0,19,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle,iyle,cue_onset,False,nominalizer,syntactic,after,after,2
0,20,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket,Ġhareket,post_cue,False,nominalizer,syntactic,after,after,2
0,21,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ed,Ġed,post_cue,False,nominalizer,syntactic,after,after,2
0,22,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediy,iy,post_cue,False,nominalizer,syntactic,after,after,2
0,23,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyord,ord,post_cue,False,nominalizer,syntactic,after,after,2
0,24,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu,u,post_cue,False,nominalizer,syntactic,after,after,2
0,25,Gidiyordu ama bizim kiracı da daire dönüşlerinde ev arama niyetiyle hareket ediyordu.,.,full_sentence,True,nominalizer,syntactic,after,after,2
1,0,G,G,pre_ambiguity,False,nominalizer,syntactic,before,before,-4
1,1,Gidi,idi,pre_ambiguity,False,nominalizer,syntactic,before,before,-4
1,2,Gidiy,y,pre_ambiguity,False,nominalizer,syntactic,before,before,-4
1,3,Gidiyord,ord,pre_ambiguity,False,nominalizer,syntactic,before,before,-4
1,4,Gidiyordu,u,pre_ambiguity,False,nominalizer,syntactic,before,before,-4
1,5,Gidiyordu ama,Ġama,pre_ambiguity,False,nominalizer,syntactic,before,before,-4
1,6,Gidiyordu ama bizim,Ġbizim,pre_ambiguity,False,nominalizer,syntactic,before,before,-4
1,7,Gidiyordu ama bizim kir,Ġkir,pre_ambiguity,False,nominalizer,syntactic,before,before,-4
1,8,Gidiyordu ama bizim kirac,ac,pre_ambiguity,False,nominalizer,syntactic,before,before,-4
1,9,Gidiyordu ama bizim kiracının,Ä±nÄ±n,pre_ambiguity,False,nominalizer,syntactic,before,before,-4
1,10,Gidiyordu ama bizim kiracının da,Ġda,pre_ambiguity,False,nominalizer,syntactic,before,before,-4
